Sex,Fatal
M,N
M,N
M,N
M,N
M,N
-,N
M,N
F,N
M,Y
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
F,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,Y
M,N
M,-
M,N
M,Y
F,N
M,N
F,N
F,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
-,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
-,N
M,N
F,N
M,N
F,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
F,N
F,N
M,N
F,N
M,N
F,N
F,N
M,N
F,N
M,N
M,N
M,Y
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
F,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
-,N
M,Y
-,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,N
-,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
F,N
M,N
F,N
F,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,Y
M,N
F,N
M,N
M,N
F,N
M,N
-,N
M,N
F,N
M,N
F,N
M,N
-,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
F,N
F,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
F,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
F,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,-
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
F,N
F,Y
F,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
F,Y
F,N
M,N
F,Y
M,Y
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,Y
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
-,N
M,N
M,N
M,N
M,N
M,N
F,N
-,N
F,N
M,N
M,N
M,Y
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
F,N
M,Y
F,N
M,N
F,Y
M,N
M,N
-,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
-,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
-,N
M,Y
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
M,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,Y
-,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
F,N
F,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,Y
M,N
-,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
F,N
F,N
M,N
M,Y
M,N
M,Y
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
F,N
F,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
